Danny Boy,64,400,65,400,67,400,69,1200,67,400,69,400,74,400,72,400,69,400,67,400,65,400,62,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fur Elise,76,450,75,450,76,450,75,450,76,450,71,450,74,450,72,450,69,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ode to Joy,64,500,64,500,65,500,67,500,67,500,65,500,64,500,62,500,60,500,60,500,62,500,64,500,64,750,62,250,62,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring (Four Seasons),60,300,64,300,64,300,64,300,62,150,60,150,67,900,67,150,65,150,64,300,64,300,64,300,62,150,60,150,67,900,67,150,65,150,64,300,65,150,67,150,65,300,64,300,62,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish March,71,120,69,120,68,120,69,120,72,480,74,120,72,120,71,120,72,120,76,480,77,120,76,120,75,120,76,120,83,120,81,120,80,120,81,120,83,120,81,120,80,120,81,120,84,480,81,240,84,220,79,10,81,10,83,240,81,240,79,240,81,220,79,10,81,10,83,240,81,240,79,240,81,220,79,10,81,10,83,240,81,240,79,240,78,240,76,480,,,,
Let It Be,67,150,67,150,67,300,67,150,69,450,64,300,67,300,67,300,72,150,74,450,76,150,76,300,76,450,74,300,74,300,72,300,72,600,76,150,76,450,77,300,76,150,76,450,74,600,76,150,74,150,74,300,72,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Little Light of Mine,62,400,62,200,62,200,62,400,64,400,67,1600,71,400,71,200,71,200,71,400,69,400,67,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What A Wonderful World,60,400,64,400,65,1200,69,400,72,2000,74,400,74,400,74,400,72,2000,70,400,70,400,70,400,69,2000,67,400,67,400,67,400,65,1066,65,266,65,266,65,1066,65,266,65,266,65,2400,65,400,65,400,64,533,65,533,67,533,69,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme from Jurassic Park,60,1500,60,250,59,250,60,1500,60,250,59,250,60,750,62,250,62,750,65,250,65,1500,64,250,60,250,62,750,59,250,55,500,64,250,60,250,62,1500,67,250,60,250,65,750,64,250,64,750,62,250,62,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast,55,300,58,300,62,300,63,300,56,3600,55,300,58,300,62,300,63,300,65,1200,67,300,65,300,67,300,70,300,63,1200,63,300,62,300,63,300,67,300,56,1200,67,300,68,300,65,300,67,300,63,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can You Feel the Love Tonight,72,600,69,300,67,900,72,300,69,900,65,300,62,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circle of Life,79,600,79,600,77,900,74,450,72,150,70,150,67,150,65,1500,65,300,75,600,74,300,72,600,70,300,70,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colors of the Wind,66,300,69,300,74,300,73,300,73,300,71,300,71,300,69,300,66,300,64,300,66,600,69,600,71,900,69,300,74,300,73,300,73,300,71,300,71,300,69,300,69,300,66,300,69,1800,66,300,69,300,74,300,73,300,73,300,71,300,71,300,69,300,69,300,71,300,69,600,62,1200,59,300,62,300,64,300,66,300,66,300,64,300,64,300,62,300,62,300,59,300,64,900
Go the Distance,66,200,69,200,71,800,69,800,66,400,69,400,74,400,78,400,78,1200,79,400,76,400,74,200,71,800,74,200,74,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakuna Matata,76,300,76,300,74,150,72,300,72,1650,76,300,76,300,74,150,74,1200,74,150,75,300,74,225,75,75,74,225,72,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heigh-Ho,62,300,67,900,66,300,64,900,67,300,69,450,71,150,69,300,67,300,66,900,62,300,64,300,67,300,62,300,62,300,64,300,66,300,67,300,72,300,71,900,67,300,69,300,62,300,64,300,66,300,67,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'll Make A Man Out Of You,76,400,71,200,74,400,69,200,71,400,74,1000,69,200,71,200,72,1200,74,200,69,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part of Your World,64,400,65,400,67,400,69,1200,65,400,67,400,69,400,69,1200,65,400,67,400,69,400,72,300,70,600,70,600,69,300,72,300,70,1500,70,400,69,400,65,400,60,1200,70,400,69,400,65,400,60,1200,60,400,65,400,64,400,65,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seize the Day,64,600,64,450,65,150,67,600,72,600,74,900,72,300,72,1200,64,600,64,450,65,150,67,600,72,600,70,900,69,300,69,1200,64,600,67,450,72,150,74,600,72,600,69,600,72,450,76,150,74,600,72,600,76,600,72,600,67,600,74,600,72,1800,67,600,76,600,72,600,67,600,74,600,72,2400,,,,,,,,,,,,,,,,,,
When You Wish Upon a Star,55,500,67,500,65,500,64,500,61,500,62,500,69,1000,59,500,71,500,69,500,67,500,66,500,67,500,72,1000,74,500,72,500,71,500,69,500,67,500,65,500,64,500,62,500,69,1000,59,1000,60,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Whole New World,66,400,64,200,67,400,66,200,62,400,57,1600,66,400,64,200,67,400,66,200,62,400,66,800,64,800,64,400,63,200,66,400,64,200,61,400,64,400,62,400,61,400,62,400,59,200,61,400,64,400,62,400,57,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnie the Pooh,70,450,69,450,67,450,64,900,62,450,60,900,62,450,60,900,69,450,70,450,69,450,67,450,64,900,67,450,69,2250,60,450,70,450,69,450,67,450,64,900,67,450,72,900,69,450,65,900,60,450,62,450,64,450,65,450,64,450,62,450,60,450,65,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You've Got A Friend In Me,67,300,70,600,67,300,72,600,70,400,67,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars (Main Theme),55,120,55,120,55,120,60,720,67,720,65,120,64,120,62,120,72,720,67,360,65,120,64,120,62,120,72,720,67,360,65,120,64,120,65,120,62,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars (Force Theme),55,600,60,1200,62,900,63,150,65,150,63,1200,55,900,55,300,60,900,62,300,63,300,55,300,63,200,60,200,67,200,65,1800,55,600,60,900,62,300,63,450,55,150,67,450,63,150,72,1200,60,600,63,200,62,200,60,200,67,800,63,200,60,200,55,600,55,450,55,150,60,1800,,,,,,,,,,,,,,,,,,,,,,
